0 1e-06
1 1e-06
2 1e-06
3 1e-06
4 2e-06
5 1e-06
6 1e-06
7 1e-06
8 1e-06
9 2e-06
10 2e-06
11 3e-06
12 3e-06
13 5e-06
14 7e-06
15 1e-05
16 1.3e-05
17 2e-05
18 3.2e-05
19 4.9e-05
20 7.8e-05
21 0.000124
22 0.0002
23 0.000344
24 0.00052
25 0.00084
26 0.001629
27 0.002291
28 0.00357
29 0.005771
30 0.009327
31 0.016051
32 0.024939
33 0.039914
34 0.064544
35 0.103813
36 0.167294
37 0.269919
38 0.43716
39 0.706828
40 1.14355
41 1.84923
42 2.99506
43 4.84251
44 7.92531
45 12.6945
46 20.5483
47 33.1765
48 53.635
49 86.8042
