0 3e-06
1000 0.003474
2000 0.013642
3000 0.030865
4000 0.06077
5000 0.094498
6000 0.143243
7000 0.198503
8000 0.266597
9000 0.344918
10000 0.42949
11000 0.530335
12000 0.648409
13000 0.762505
14000 0.895291
15000 1.031
16000 1.18292
17000 1.34286
18000 1.51497
19000 1.69277
20000 1.89772
21000 2.11058
22000 2.31255
23000 2.57535
24000 2.76332
25000 3.00934
26000 3.25923
27000 3.533
28000 3.8101
29000 4.17139
30000 4.56201
31000 4.7779
32000 5.08277
33000 5.39032
34000 5.67987
35000 6.12859
36000 6.44386
37000 6.91838
38000 7.1832
39000 7.6853
40000 7.9131
41000 8.41888
42000 8.91613
43000 9.19524
44000 9.59902
45000 10.1173
46000 10.8236
47000 11.0142
48000 11.4839
49000 11.9872
