0 1e-06
1000 0.002273
2000 0.007475
3000 0.01713
4000 0.030512
5000 0.051514
6000 0.070034
7000 0.093721
8000 0.116877
9000 0.148621
10000 0.182247
11000 0.217741
12000 0.257772
13000 0.301912
14000 0.352296
15000 0.402478
16000 0.458153
17000 0.52831
18000 0.592809
19000 0.650443
20000 0.716637
21000 0.790636
22000 0.866258
23000 0.995187
24000 1.02884
25000 1.11482
26000 1.21551
27000 1.28842
28000 1.45394
29000 1.50932
30000 1.59161
31000 1.7115
32000 1.81557
33000 1.92862
34000 2.05414
35000 2.19335
36000 2.32203
37000 2.4307
38000 2.57132
39000 2.69634
40000 2.86393
41000 3.00937
42000 3.14253
43000 3.34605
44000 3.44759
45000 3.6258
46000 3.76172
47000 3.93841
48000 4.08983
49000 4.29865
