0 1e-06
1000 0.002269
2000 0.008776
3000 0.019746
4000 0.034904
5000 0.054466
6000 0.078158
7000 0.105868
8000 0.137996
9000 0.174752
10000 0.215889
11000 0.260781
12000 0.311337
13000 0.366014
14000 0.424018
15000 0.48658
16000 0.554026
17000 0.625542
18000 0.715723
19000 0.783128
20000 0.874388
21000 0.956913
22000 1.05346
23000 1.14626
24000 1.2481
25000 1.3532
26000 1.4646
27000 1.58099
28000 1.69979
29000 1.82524
30000 1.95244
31000 2.08395
32000 2.21946
33000 2.35996
34000 2.50485
35000 2.67443
36000 2.82145
37000 2.96839
38000 3.13035
39000 3.30294
40000 3.47109
41000 3.65017
42000 3.82609
43000 4.01115
44000 4.19871
45000 4.39244
46000 4.58788
47000 4.79097
48000 4.99723
49000 5.21494
