0  4.19932
5  1e-06
10  5e-06
15  1.1e-05
20  2.1e-05
25  4.5e-05
30  5.3e-05
35  7.1e-05
40  0.000113
45  0.000136
50  0.000167
55  0.000197
60  0.000342
65  0.000314
70  0.000376
75  0.00042
80  0.000567
85  0.000618
90  0.00068
95  0.000758
100  0.00084
105  0.000924
110  0.001434
115  0.001263
120  0.001368
125  0.001478
130  0.001576
135  0.001695
140  0.00184
145  0.001959
150  0.00209
155  0.002245
160  0.002739
165  0.002913
170  0.003049
175  0.003251
180  0.003367
185  0.003521
190  0.003719
195  0.004006
200  0.004118
205  0.004316
210  0.00452
215  0.004726
220  0.005019
225  0.005511
230  0.006087
235  0.006352
240  0.006614
245  0.006894
